"у́ютный","gemütlich; behaglich"
"п́ятница","Freitag"
"сал́ат","Salat"
"четв́ерг","Donnerstag"
"мен́ю","Menü; Speisekarte"
"вт́орник","Dienstag"
"недалёкий","nahe, nicht weit, kurz, beschränkt"
"шторм","Sturm, Sturmwind"
"х́обби","Hobby"
"эскал́атор","Rolltreppe"
"чт́о-то","irgendwas, irgendetwas"
"кт́о-то","irgendwer, jemand, irgend jemand"
"гд́е-то","irgendwo"
"сп́аржа","Spargel"
"н́есколькие","einige"
"од́ин","eins, 1; ein; nur"
"два","zwei, 2"
"три","drei, 3"
"пять","fünf, 5"
"чет́ыре","vier"
"д́есять","zehn, 10"
"шесть","sechs, 6"
"семь","sieben, 7"
"в́осемь","acht, 8"
"д́евять","neun, 9"
"еѓо","Genitiv von он; Genitiv von оно"
"её","Genitiv von она"
"их","Genitiv und Akkusativ von они; Präpositiv von они: immer них; ihr, ihre"
"д́оброе у'тро","guten Morgen"
"д́обрый день","guten Tag"
"д́обрый вечер","guten Abend"
"потом́у что","weil"
"ф́итнес","Fitness"
"кред́итная ка'рта","Kreditkarte"
"все","alle; sämtliche, jeder"
"нас","Genitiv von мы"
"ем́у","Dativ von он; Dativ von оно"
"ей","Dativ von она"
"нам","Dativ von мы; uns"
"им","Dativ von они"
"прост́ите","Verzeihen Sie!, Verzeihung!"
"чем","als; anstatt"
"мем","Mem"
"вай-фай","WLAN, Wifi, Wi-Fi"
