"дешёвый","1) billig, kostengünstig"
"голо́дный","1) hungrig"
"метро́","1) U-Bahn, Metro"
"недалеко́","1) nah 2) nicht weit, nicht fern"
"кафе́","1) Café"
"воскресе́нье","1) Sonntag 2) Auferstehung"
"суп","1) Suppe"
"норма́льно","1) normal"
"суббо́та","1) Samstag, Sonnabend"
"жа́ркий","1) heiß, heftig"
"напи́ток","1) Getränk"
"напра́во","1) nach rechts, rechts"
"нале́во","1) nach links, links 2) schwarz, illegal"
"ме́дленный","1) langsam"
"ку́шать","1) essen, speisen"
"вку́сный","1) lecker 2) schmackhaft"
"понеде́льник","1) Montag"
"ую́тный","1) gemütlich 2) behaglich"
"пя́тница","1) Freitag"
"сала́т","1) Salat"
"четве́рг","1) Donnerstag"
"меню́","1) Menü 2) Speisekarte"
"вто́рник","1) Dienstag"
"недалёкий","1) nahe, nicht weit, kurz, beschränkt"
"шторм","1) Sturm, Sturmwind"
"хо́бби","1) Hobby"
"эскала́тор","1) Rolltreppe"
"что́-то","1) irgendwas, irgendetwas"
"кто́-то","1) irgendwer, jemand, irgend jemand"
"где́-то","1) irgendwo"
"спа́ржа","1) Spargel"
"не́сколькие","1) einige"
"оди́н","1) eins, 1 2) ein 3) nur"
"два","1) zwei, 2"
"три","1) drei, 3"
"пять","1) fünf, 5"
"четы́ре","1) vier"
"де́сять","1) zehn, 10"
"шесть","1) sechs, 6"
"семь","1) sieben, 7"
"во́семь","1) acht, 8"
"де́вять","1) neun, 9"
"его́","1) Genitiv von он 2) Genitiv von оно"
"её","1) Genitiv von она"
"их","1) Genitiv und Akkusativ von они 2) Präpositiv von они: immer них 3) ihr, ihre"
"до́брое у'тро","1) guten Morgen"
"до́брый день","1) guten Tag"
"до́брый вечер","1) guten Abend"
"потому́ что","1) weil"
"фи́тнес","1) Fitness"
"креди́тная ка'рта","1) Kreditkarte"
"все","1) alle 2) sämtliche, jeder"
"нас","1) Genitiv von мы"
"ему́","1) Dativ von он 2) Dativ von оно"
"ей","1) Dativ von она"
"нам","1) Dativ von мы 2) uns"
"им","1) Dativ von они"
"прости́те","1) Verzeihen Sie!, Verzeihung!"
"чем","1) als 2) anstatt"
"мем","1) Mem"
"вай-фай","1) WLAN, Wifi, Wi-Fi"
